Surname,Name,Sex,Age,Rescue Ship,Arrival Pier,Arrival Harbour,Arrival Time
Newell,Miss. Madeleine,female,31.0,Carpathia,Pier 54,New York,1912-04-18 21:33:37
Honkanen,Miss. Eliina,female,27.0,Carpathia,Pier 54,New York,1912-04-18 21:34:44
Bazzani,Miss. Albina,female,32.0,Carpathia,Pier 54,New York,1912-04-18 21:32:54
Sunderland,Mr. Victor Francis,male,16.0,Carpathia,Pier 54,New York,1912-04-18 21:31:14
Hoyt,Mr. Frederick Maxfield,male,38.0,Carpathia,Pier 54,New York,1912-04-18 21:30:18
Mellors,Mr. William John,male,19.0,Carpathia,Pier 54,New York,1912-04-18 21:33:17
Harris,Mrs. Henry Birkhardt (Irene Wallach),female,35.0,Carpathia,Pier 54,New York,1912-04-18 21:31:08
Asplund,Miss. Lillian Gertrud,female,5.0,Carpathia,Pier 54,New York,1912-04-18 21:31:13
Collyer,"Miss. Marjorie ""Lottie""",female,8.0,Carpathia,Pier 54,New York,1912-04-18 21:34:38
Murphy,"Miss. Katherine ""Kate""",female,,Carpathia,Pier 54,New York,1912-04-18 21:33:45
Hamalainen,Mrs. William (Anna),female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:32:02
Beckwith,Mr. Richard Leonard,male,37.0,Carpathia,Pier 54,New York,1912-04-18 21:34:16
Touma,Mrs. Darwis (Hanne Youssef Razi),female,29.0,Carpathia,Pier 54,New York,1912-04-18 21:35:22
Thorne,Mrs. Gertrude Maybelle,female,,Carpathia,Pier 54,New York,1912-04-18 21:30:29
Cherry,Miss. Gladys,female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:34:51
Ward,Miss. Anna,female,35.0,Carpathia,Pier 54,New York,1912-04-18 21:33:17
Parrish,Mrs. (Lutie Davis),female,50.0,Carpathia,Pier 54,New York,1912-04-18 21:33:29
Asplund,Master. Edvin Rojj Felix,male,3.0,Carpathia,Pier 54,New York,1912-04-18 21:32:25
Persson,Mr. Ernst Ulrik,male,25.0,Carpathia,Pier 54,New York,1912-04-18 21:34:06
Graham,Mrs. William Thompson (Edith Junkins),female,58.0,Carpathia,Pier 54,New York,1912-04-18 21:30:40
Bissette,Miss. Amelia,female,35.0,Carpathia,Pier 54,New York,1912-04-18 21:32:41
Tornquist,Mr. William Henry,male,25.0,Carpathia,Pier 54,New York,1912-04-18 21:32:02
Mellinger,Mrs. (Elizabeth Anne Maidment),female,41.0,Carpathia,Pier 54,New York,1912-04-18 21:35:09
Healy,"Miss. Hanora ""Nora""",female,,Carpathia,Pier 54,New York,1912-04-18 21:34:01
Andrews,Miss. Kornelia Theodosia,female,63.0,Carpathia,Pier 54,New York,1912-04-18 21:32:40
Abbott,Mrs. Stanton (Rosa Hunt),female,35.0,Carpathia,Pier 54,New York,1912-04-18 21:34:25
Dorking,Mr. Edward Arthur,male,19.0,Carpathia,Pier 54,New York,1912-04-18 21:30:13
de Mulder,Mr. Theodore,male,30.0,Carpathia,Pier 54,New York,1912-04-18 21:32:21
Hosono,Mr. Masabumi,male,42.0,Carpathia,Pier 54,New York,1912-04-18 21:35:11
Connolly,Miss. Kate,female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:33:23
Barber,"Miss. Ellen ""Nellie""",female,26.0,Carpathia,Pier 54,New York,1912-04-18 21:34:42
Bishop,Mrs. Dickinson H (Helen Walton),female,19.0,Carpathia,Pier 54,New York,1912-04-18 21:32:00
Saalfeld,Mr. Adolphe,male,,Carpathia,Pier 54,New York,1912-04-18 21:32:32
Baxter,Mrs. James (Helene DeLaudeniere Chaput),female,50.0,Carpathia,Pier 54,New York,1912-04-18 21:35:33
Kelly,"Miss. Anna Katherine ""Annie Kate""",female,,Carpathia,Pier 54,New York,1912-04-18 21:30:11
McCoy,Mr. Bernard,male,,Carpathia,Pier 54,New York,1912-04-18 21:34:44
Keane,Miss. Nora A,female,,Carpathia,Pier 54,New York,1912-04-18 21:30:19
Allison,Master. Hudson Trevor,male,0.92,Carpathia,Pier 54,New York,1912-04-18 21:34:39
Fleming,Miss. Margaret,female,,Carpathia,Pier 54,New York,1912-04-18 21:32:23
Penasco y Castellana,Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo),female,17.0,Carpathia,Pier 54,New York,1912-04-18 21:32:09
Francatelli,Miss. Laura Mabel,female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:31:17
Hays,Miss. Margaret Bechstein,female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:34:53
Ryerson,Miss. Emily Borie,female,18.0,Carpathia,Pier 54,New York,1912-04-18 21:31:52
Nilsson,Miss. Helmina Josefina,female,26.0,Carpathia,Pier 54,New York,1912-04-18 21:31:16
Kantor,Mrs. Sinai (Miriam Sternin),female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:34:52
Wick,Miss. Mary Natalie,female,31.0,Carpathia,Pier 54,New York,1912-04-18 21:34:03
Spedden,Mrs. Frederic Oakley (Margaretta Corning Stone),female,40.0,Carpathia,Pier 54,New York,1912-04-18 21:32:28
Slayter,Miss. Hilda Mary,female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:32:16
Caldwell,Mrs. Albert Francis (Sylvia Mae Harbaugh),female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:32:48
Young,Miss. Marie Grice,female,36.0,Carpathia,Pier 54,New York,1912-04-18 21:32:32
Ball,Mrs. (Ada E Hall),female,36.0,Carpathia,Pier 54,New York,1912-04-18 21:34:33
Goldsmith,Mrs. Frank John (Emily Alice Brown),female,31.0,Carpathia,Pier 54,New York,1912-04-18 21:33:55
Hippach,Miss. Jean Gertrude,female,16.0,Carpathia,Pier 54,New York,1912-04-18 21:34:45
McCoy,Miss. Agnes,female,,Carpathia,Pier 54,New York,1912-04-18 21:31:47
Frauenthal,Mrs. Henry William (Clara Heinsheimer),female,,Carpathia,Pier 54,New York,1912-04-18 21:33:27
Burns,Miss. Elizabeth Margaret,female,41.0,Carpathia,Pier 54,New York,1912-04-18 21:30:41
Dahl,Mr. Karl Edwart,male,45.0,Carpathia,Pier 54,New York,1912-04-18 21:35:28
Navratil,Master. Edmond Roger,male,2.0,Carpathia,Pier 54,New York,1912-04-18 21:30:20
Fortune,Miss. Alice Elizabeth,female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:33:34
Brown,"Miss. Amelia ""Mildred""",female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:32:03
Smith,Miss. Marion Elsie,female,40.0,Carpathia,Pier 54,New York,1912-04-18 21:34:15
Davison,Mrs. Thomas Henry (Mary E Finck),female,,Carpathia,Pier 54,New York,1912-04-18 21:33:32
Coutts,"Master. William Loch ""William""",male,3.0,Carpathia,Pier 54,New York,1912-04-18 21:32:37
Bowerman,Miss. Elsie Edith,female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:33:03
McGovern,Miss. Mary,female,,Carpathia,Pier 54,New York,1912-04-18 21:32:20
Mockler,"Miss. Helen Mary ""Ellie""",female,,Carpathia,Pier 54,New York,1912-04-18 21:31:33
Warren,Mrs. Frank Manley (Anna Sophia Atkinson),female,60.0,Carpathia,Pier 54,New York,1912-04-18 21:35:05
Moussa,Mrs. (Mantoura Boulos),female,,Carpathia,Pier 54,New York,1912-04-18 21:33:51
Jermyn,Miss. Annie,female,,Carpathia,Pier 54,New York,1912-04-18 21:33:52
Aubart,Mme. Leontine Pauline,female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:33:37
Harder,Mr. George Achilles,male,25.0,Carpathia,Pier 54,New York,1912-04-18 21:33:00
Meyer,Mrs. Edgar Joseph (Leila Saks),female,,Carpathia,Pier 54,New York,1912-04-18 21:34:40
Landergren,Miss. Aurora Adelia,female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:34:43
Bidois,Miss. Rosalie,female,42.0,Carpathia,Pier 54,New York,1912-04-18 21:30:05
Nakid,"Miss. Maria (""Mary"")",female,1.0,Carpathia,Pier 54,New York,1912-04-18 21:34:42
Holverson,Mrs. Alexander Oskar (Mary Aline Towner),female,35.0,Carpathia,Pier 54,New York,1912-04-18 21:32:55
Buss,Miss. Kate,female,36.0,Carpathia,Pier 54,New York,1912-04-18 21:32:36
Lehmann,Miss. Bertha,female,17.0,Carpathia,Pier 54,New York,1912-04-18 21:33:24
Carter,Mr. William Ernest,male,36.0,Carpathia,Pier 54,New York,1912-04-18 21:30:38
Jansson,Mr. Carl Olof,male,21.0,Carpathia,Pier 54,New York,1912-04-18 21:32:45
Newell,Miss. Marjorie,female,23.0,Carpathia,Pier 54,New York,1912-04-18 21:33:20
Sandstrom,Mrs. Hjalmar (Agnes Charlotta Bengtsson),female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:34:04
Trout,Mrs. William H (Jessie L),female,28.0,Carpathia,Pier 54,New York,1912-04-18 21:31:21
Niskanen,Mr. Juha,male,39.0,Carpathia,Pier 54,New York,1912-04-18 21:35:21
Richards,Master. William Rowe,male,3.0,Carpathia,Pier 54,New York,1912-04-18 21:32:47
Minahan,Miss. Daisy E,female,33.0,Carpathia,Pier 54,New York,1912-04-18 21:32:42
Sundman,Mr. Johan Julian,male,44.0,Carpathia,Pier 54,New York,1912-04-18 21:34:07
Drew,Mrs. James Vivian (Lulu Thorne Christian),female,34.0,Carpathia,Pier 54,New York,1912-04-18 21:30:24
Silven,Miss. Lyyli Karoliina,female,18.0,Carpathia,Pier 54,New York,1912-04-18 21:34:00
Clarke,Mrs. Charles V (Ada Maria Winfield),female,28.0,Carpathia,Pier 54,New York,1912-04-18 21:30:41
Phillips,"Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",female,19.0,Carpathia,Pier 54,New York,1912-04-18 21:35:29
Pickard,Mr. Berk (Berk Trembisky),male,32.0,Carpathia,Pier 54,New York,1912-04-18 21:31:06
Bjornstrom-Steffansson,Mr. Mauritz Hakan,male,28.0,Carpathia,Pier 54,New York,1912-04-18 21:33:23
Thorneycroft,Mrs. Percival (Florence Kate White),female,,Carpathia,Pier 54,New York,1912-04-18 21:31:12
Louch,Mrs. Charles Alexander (Alice Adelaide Slow),female,42.0,Carpathia,Pier 54,New York,1912-04-18 21:31:45
Carter,Miss. Lucile Polk,female,14.0,Carpathia,Pier 54,New York,1912-04-18 21:30:10
Richards,Mrs. Sidney (Emily Hocking),female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:33:53
Hart,Mrs. Benjamin (Esther Ada Bloomfield),female,45.0,Carpathia,Pier 54,New York,1912-04-18 21:31:21
Reynaldo,Ms. Encarnacion,female,28.0,Carpathia,Pier 54,New York,1912-04-18 21:33:21
Johannesen-Bratthammer,Mr. Bernt,male,,Carpathia,Pier 54,New York,1912-04-18 21:31:37
Dodge,Master. Washington,male,4.0,Carpathia,Pier 54,New York,1912-04-18 21:32:38
Mellinger,Miss. Madeleine Violet,female,13.0,Carpathia,Pier 54,New York,1912-04-18 21:33:57
Seward,Mr. Frederic Kimber,male,34.0,Carpathia,Pier 54,New York,1912-04-18 21:34:20
Baclini,Miss. Marie Catherine,female,5.0,Carpathia,Pier 54,New York,1912-04-18 21:30:05
Peuchen,Major. Arthur Godfrey,male,52.0,Carpathia,Pier 54,New York,1912-04-18 21:32:45
Goldenberg,Mr. Samuel L,male,49.0,Carpathia,Pier 54,New York,1912-04-18 21:33:04
Jalsevac,Mr. Ivan,male,29.0,Carpathia,Pier 54,New York,1912-04-18 21:34:05
Kenyon,Mrs. Frederick R (Marion),female,,Carpathia,Pier 54,New York,1912-04-18 21:35:18
Toomey,Miss. Ellen,female,50.0,Carpathia,Pier 54,New York,1912-04-18 21:34:02
Anderson,Mr. Harry,male,48.0,Carpathia,Pier 54,New York,1912-04-18 21:33:56
Baclini,Miss. Helene Barbara,female,0.75,Carpathia,Pier 54,New York,1912-04-18 21:30:24
West,Mrs. Edwy Arthur (Ada Mary Worth),female,33.0,Carpathia,Pier 54,New York,1912-04-18 21:31:26
Jerwan,Mrs. Amin S (Marie Marthe Thuillard),female,23.0,Carpathia,Pier 54,New York,1912-04-18 21:31:32
Hirvonen,Miss. Hildur E,female,2.0,Carpathia,Pier 54,New York,1912-04-18 21:31:50
Turkula,Mrs. (Hedwig),female,63.0,Carpathia,Pier 54,New York,1912-04-18 21:31:59
Bishop,Mr. Dickinson H,male,25.0,Carpathia,Pier 54,New York,1912-04-18 21:34:40
Hoyt,Mrs. Frederick Maxfield (Jane Anne Forby),female,35.0,Carpathia,Pier 54,New York,1912-04-18 21:30:32
Coutts,"Master. Eden Leslie ""Neville""",male,9.0,Carpathia,Pier 54,New York,1912-04-18 21:30:03
Eustis,Miss. Elizabeth Mussey,female,54.0,Carpathia,Pier 54,New York,1912-04-18 21:30:16
Maioni,Miss. Roberta,female,16.0,Carpathia,Pier 54,New York,1912-04-18 21:33:38
Quick,Mrs. Frederick Charles (Jane Richards),female,33.0,Carpathia,Pier 54,New York,1912-04-18 21:33:03
Bradley,"Mr. George (""George Arthur Brayton"")",male,,Carpathia,Pier 54,New York,1912-04-18 21:32:16
Lang,Mr. Fang,male,26.0,Carpathia,Pier 54,New York,1912-04-18 21:30:24
Daly,Mr. Eugene Patrick,male,29.0,Carpathia,Pier 54,New York,1912-04-18 21:33:20
McGough,Mr. James Robert,male,36.0,Carpathia,Pier 54,New York,1912-04-18 21:30:09
Rothschild,Mrs. Martin (Elizabeth L. Barrett),female,54.0,Carpathia,Pier 54,New York,1912-04-18 21:33:27
Lemore,Mrs. (Amelia Milley),female,34.0,Carpathia,Pier 54,New York,1912-04-18 21:35:02
Angle,"Mrs. William A (Florence ""Mary"" Agnes Hughes)",female,36.0,Carpathia,Pier 54,New York,1912-04-18 21:34:25
Perreault,Miss. Anne,female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:34:08
Hippach,Mrs. Louis Albert (Ida Sophia Fischer),female,44.0,Carpathia,Pier 54,New York,1912-04-18 21:34:44
Ridsdale,Miss. Lucy,female,50.0,Carpathia,Pier 54,New York,1912-04-18 21:32:15
Quick,Miss. Phyllis May,female,2.0,Carpathia,Pier 54,New York,1912-04-18 21:30:00
Peter,Mrs. Catherine (Catherine Rizk),female,,Carpathia,Pier 54,New York,1912-04-18 21:34:32
Hart,Miss. Eva Miriam,female,7.0,Carpathia,Pier 54,New York,1912-04-18 21:30:55
LeRoy,Miss. Bertha,female,30.0,Carpathia,Pier 54,New York,1912-04-18 21:30:55
Frolicher,Miss. Hedwig Margaritha,female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:33:06
Crosby,Miss. Harriet R,female,36.0,Carpathia,Pier 54,New York,1912-04-18 21:34:31
Beane,Mr. Edward,male,32.0,Carpathia,Pier 54,New York,1912-04-18 21:30:19
Beane,Mrs. Edward (Ethel Clarke),female,19.0,Carpathia,Pier 54,New York,1912-04-18 21:33:54
Padro y Manent,Mr. Julian,male,,Carpathia,Pier 54,New York,1912-04-18 21:35:26
Davies,Master. John Morgan Jr,male,8.0,Carpathia,Pier 54,New York,1912-04-18 21:31:00
Thayer,Mr. John Borland Jr,male,17.0,Carpathia,Pier 54,New York,1912-04-18 21:34:00
Leeni,"Mr. Fahim (""Philip Zenni"")",male,22.0,Carpathia,Pier 54,New York,1912-04-18 21:33:20
Ohman,Miss. Velin,female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:34:12
Duff Gordon,"Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,Carpathia,Pier 54,New York,1912-04-18 21:31:45
Taussig,Mrs. Emil (Tillie Mandelbaum),female,39.0,Carpathia,Pier 54,New York,1912-04-18 21:32:53
de Messemaeker,Mrs. Guillaume Joseph (Emma),female,36.0,Carpathia,Pier 54,New York,1912-04-18 21:34:46
Jonsson,Mr. Carl,male,32.0,Carpathia,Pier 54,New York,1912-04-18 21:33:35
Harris,Mr. George,male,62.0,Carpathia,Pier 54,New York,1912-04-18 21:34:18
Appleton,Mrs. Edward Dale (Charlotte Lamson),female,53.0,Carpathia,Pier 54,New York,1912-04-18 21:35:01
Flynn,"Mr. John Irwin (""Irving"")",male,36.0,Carpathia,Pier 54,New York,1912-04-18 21:32:53
Kelly,Miss. Mary,female,,Carpathia,Pier 54,New York,1912-04-18 21:30:45
Garside,Miss. Ethel,female,34.0,Carpathia,Pier 54,New York,1912-04-18 21:35:40
Silvey,Mrs. William Baird (Alice Munger),female,39.0,Carpathia,Pier 54,New York,1912-04-18 21:31:15
Jussila,Mr. Eiriik,male,32.0,Carpathia,Pier 54,New York,1912-04-18 21:35:21
Christy,Miss. Julie Rachel,female,25.0,Carpathia,Pier 54,New York,1912-04-18 21:30:34
Thayer,Mrs. John Borland (Marian Longstreth Morris),female,39.0,Carpathia,Pier 54,New York,1912-04-18 21:31:58
Taussig,Miss. Ruth,female,18.0,Carpathia,Pier 54,New York,1912-04-18 21:30:13
Frolicher-Stehli,Mr. Maxmillian,male,60.0,Carpathia,Pier 54,New York,1912-04-18 21:30:34
Stephenson,Mrs. Walter Bertram (Martha Eustis),female,52.0,Carpathia,Pier 54,New York,1912-04-18 21:35:19
Leitch,Miss. Jessie Wills,female,,Carpathia,Pier 54,New York,1912-04-18 21:31:34
Duff Gordon,"Sir. Cosmo Edmund (""Mr Morgan"")",male,49.0,Carpathia,Pier 54,New York,1912-04-18 21:30:23
Jacobsohn,Mrs. Sidney Samuel (Amy Frances Christy),female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:33:48
Homer,"Mr. Harry (""Mr E Haven"")",male,35.0,Carpathia,Pier 54,New York,1912-04-18 21:35:29
Daniel,Mr. Robert Williams,male,27.0,Carpathia,Pier 54,New York,1912-04-18 21:33:56
Laroche,Mrs. Joseph (Juliette Marie Louise Lafargue),female,22.0,Carpathia,Pier 54,New York,1912-04-18 21:32:15
Shutes,Miss. Elizabeth W,female,40.0,Carpathia,Pier 54,New York,1912-04-18 21:33:40
Murphy,Miss. Margaret Jane,female,,Carpathia,Pier 54,New York,1912-04-18 21:33:39
Herman,Miss. Alice,female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:32:36
Becker,Miss. Marion Louise,female,4.0,Carpathia,Pier 54,New York,1912-04-18 21:35:25
Kimball,Mr. Edwin Nelson Jr,male,42.0,Carpathia,Pier 54,New York,1912-04-18 21:34:36
Nakid,Mr. Sahid,male,20.0,Carpathia,Pier 54,New York,1912-04-18 21:33:37
Longley,Miss. Gretchen Fiske,female,21.0,Carpathia,Pier 54,New York,1912-04-18 21:33:45
Barkworth,Mr. Algernon Henry Wilson,male,80.0,Carpathia,Pier 54,New York,1912-04-18 21:35:11
Stahelin-Maeglin,Dr. Max,male,32.0,Carpathia,Pier 54,New York,1912-04-18 21:35:36
Davis,Miss. Mary,female,28.0,Carpathia,Pier 54,New York,1912-04-18 21:30:26
Sagesser,Mlle. Emma,female,24.0,Carpathia,Pier 54,New York,1912-04-18 21:31:16
Foo,Mr. Choong,male,,Carpathia,Pier 54,New York,1912-04-18 21:31:48
Baclini,Miss. Eugenie,female,0.75,Carpathia,Pier 54,New York,1912-04-18 21:32:15
Harper,Mr. Henry Sleeper,male,48.0,Carpathia,Pier 54,New York,1912-04-18 21:32:50
Simonius-Blumer,Col. Oberst Alfons,male,56.0,Carpathia,Pier 54,New York,1912-04-18 21:35:33
Stanley,Miss. Amy Zillah Elsie,female,23.0,Carpathia,Pier 54,New York,1912-04-18 21:30:42
Doling,Miss. Elsie,female,18.0,Carpathia,Pier 54,New York,1912-04-18 21:32:11
O'Leary,"Miss. Hanora ""Norah""",female,,Carpathia,Pier 54,New York,1912-04-18 21:32:12
Frauenthal,Dr. Henry William,male,50.0,Carpathia,Pier 54,New York,1912-04-18 21:31:52
Lindqvist,Mr. Eino William,male,20.0,Carpathia,Pier 54,New York,1912-04-18 21:31:27
